bid,lat,lon,btype,h3_grid_res_7,h3_grid_res_8,h3_grid_res_9,h3_grid_res_10
23402,51.338711,12.382922,196,871f1a8cbffffff,881f1a8cb7fffff,891f1a8cb63ffff,8a1f1a8cb627fff
20468,51.345436,12.374659,71,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb1bffff,8a1f1a8cb1a7fff
23165,51.338396,12.414323,71,871f1ab96ffffff,881f1ab967fffff,891f1ab966bffff,8a1f1ab9679ffff
22121,51.33856,12.383419,196,871f1a8cbffffff,881f1a8cb7fffff,891f1a8cb63ffff,8a1f1a8cb627fff
21552,51.313053,12.373334,196,871f1a160ffffff,881f1a160dfffff,891f1a160d7ffff,8a1f1a160d5ffff
23478,51.325107,12.342362,71,871f1a8d9ffffff,881f1a8d93fffff,891f1a8d937ffff,8a1f1a8d9377fff
23592,51.329084,12.310931,71,871f1a8ddffffff,881f1a8d8bfffff,891f1a8dd6bffff,8a1f1a8dd697fff
20125,51.367449,12.344456,196,871f1a8ccffffff,881f1a8cc7fffff,891f1a8cc6bffff,8a1f1a8cc687fff
300062,51.346876,12.371328,150,871f1a8cbffffff,881f1a8cbdfffff,891f1a8cbc7ffff,8a1f1a8cbc77fff
21558,51.351231,12.376768,196,871f1a8cbffffff,881f1a8cb9fffff,891f1a8cb83ffff,8a1f1a8cb81ffff
23183,51.339844,12.37302,71,871f1a8cbffffff,881f1a8cb5fffff,891f1a8cb43ffff,8a1f1a8cb42ffff
20014,51.337978,12.385049,71,871f1a8cbffffff,881f1a8cb7fffff,891f1a8cb63ffff,8a1f1a8cb62ffff
21703,51.305387,12.381307,196,871f1a160ffffff,881f1a1607fffff,891f1a16047ffff,8a1f1a160737fff
23103,51.343498,12.38689,71,871f1a8cbffffff,881f1a8cb3fffff,891f1a8cb3bffff,8a1f1a8cb3b7fff
21686,51.342707,12.37933,196,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb0bffff,8a1f1a8cb0affff
39020,51.322396,12.396808,71,871f1a165ffffff,881f1a1657fffff,891f1a1657bffff,8a1f1a1657a7fff
39150,51.324102,12.336546,71,871f1a8d9ffffff,881f1a8d91fffff,891f1a8d907ffff,8a1f1a8d904ffff
23114,51.341902,12.36874,71,871f1a8cbffffff,881f1a8cb5fffff,891f1a8cb53ffff,8a1f1a8cb507fff
39090,51.316707,12.325448,71,871f1a8d9ffffff,881f1a8d95fffff,891f1a8d94fffff,8a1f1a8d94effff
21846,51.365347,12.375673,196,871f1a8c8ffffff,881f1a8c8bfffff,891f1a8c8afffff,8a1f1a8c8aeffff
22062,51.363516,12.358446,196,871f1a8c8ffffff,881f1a8c81fffff,891f1a8c813ffff,8a1f1a8c8107fff
21671,51.319742,12.395052,196,871f1a165ffffff,881f1a160bfffff,891f1a160b7ffff,8a1f1a160b67fff
21863,51.332382,12.368853,196,871f1a164ffffff,881f1a164bfffff,891f1a164bbffff,8a1f1a164ba7fff
20154,51.367502,12.343572,196,871f1a8ccffffff,881f1a8cc7fffff,891f1a8cc6bffff,8a1f1a8cc687fff
